iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
2,brin,0,0,dist_max_api,0,"78,0964272"
3,brin,0,0,dist_max_api,0,"76,15243292"
4,brin,0,0,dist_max_api,0,"77,11024284"
5,brin,0,0,dist_max_api,0,"78,11364031"
6,brin,0,0,dist_max_api,0,"77,88418913"
7,brin,0,0,dist_max_api,0,"78,13386226"
8,brin,0,0,dist_max_api,0,"77,30151796"
9,brin,0,0,dist_max_api,0,"76,81419373"
10,brin,0,0,dist_max_api,0,"77,37107038"
11,brin,0,0,dist_max_api,0,"80,46695113"
12,brin,0,0,dist_max_api,0,"77,2901926"
13,brin,0,0,dist_max_api,0,"78,23496294"
14,brin,0,0,dist_max_api,0,"74,75345635"
15,brin,0,0,dist_max_api,0,"77,98005319"
16,brin,0,0,dist_max_api,0,"75,31502724"
17,brin,0,0,dist_max_api,0,"77,66516018"
18,brin,0,0,dist_max_api,0,"75,62544346"
19,brin,0,0,dist_max_api,0,"78,43085146"
20,brin,0,0,dist_max_api,0,"76,46639419"
21,brin,0,0,dist_max_api,0,"77,27344775"
22,brin,0,0,dist_max_api,0,"78,42989278"
23,brin,0,0,dist_max_api,0,"77,02393675"
24,brin,0,0,dist_max_api,0,"77,91105199"
25,brin,0,0,dist_max_api,0,"76,91504288"
26,brin,0,0,dist_max_api,0,"77,3041873"
27,brin,0,0,dist_max_api,0,"77,47129297"
